KEY,TAB,DESCRIPTION,ALLOWED_CHARS,HINT
"BKEST.CFG.CLASS","Estimates","Default Class Code","",""
"BKEST.CFG.DAYS","Estimates","Num Days to Expiration Date","",""
"BKEST.CFG.ENDLN","Printing","Print Title on:     Acknowledgments","",""
"BKEST.CFG.ENDLN","Printing","Packing Slips","",""
"BKEST.CFG.ENDLN","Printing","Invoices","",""
"BKEST.CFG.ENDLN","Printing","Sales Quotes","",""
"BKEST.CFG.ENDLN","Printing","Max No Lines in body on Acks SO-B","",""
"BKEST.CFG.FORM","Estimates","Cust Quote Print Format Number | Options: 1 - Graphical Universal Form [ESD1.RTM]; 2 - Graphical Letterhead       [ESD2.RTM]; FieldName = 'bkest.cfg.form; DropDownPrgLoc = -1; DispPrgLoc = -1","",""
"BKEST.CFG.LAB%","Estimates","Labor Margin","",""
"BKEST.CFG.MAT%","Estimates","Material Margin","",""
"BKEST.CFG.OH%","Estimates","Overhead Margin","",""
"BKEST.CFG.OP%","Estimates","Outs Proc Margin","",""
"BKEST.CFG.STAT","Estimates","Default Status Code","ACIX",""
"BKEST.CFG.TOT%","Estimates","Total Margin","",""
"BKYS.DESC[1]","Setup","Allow WO'#39's for Make From Items","",""
"BKYS.DESC[3]","Setup","Post WO Transactions?","",""
"BKYS.GLDPT[10]","Manufacturing","WO Miscellaneous Costs","",""
"BKYS.GLDPT[14]","Manufacturing","IN Absorbed Freight In","",""
"BKYS.GLDPT[17]","Accounting / Sales","CS Agts Comm Payable","",""
"BKYS.GLDPT[18]","Accounting / Sales","CS Agts Comm Expense","",""
"BKYS.GLDPT[20]","Manufacturing","WO WIP Variance","",""
"BKYS.GLDPT[21]","Manufacturing","PO Purchase Price Variance","",""
"BKYS.GLDPT[2]","Accounting / Sales","AR Customer Deposits","",""
"BKYS.GLDPT[33]","Accounting / Sales","AP Deposits","",""
"BKYS.GLDPT[34]","Manufacturing","WO WIP Inventory","",""
"BKYS.GLDPT[35]","Manufacturing","IN Cost of Goods Sold","",""
"BKYS.GLDPT[36]","Manufacturing","IN Inventory (Asset)","",""
"BKYS.GLDPT[37]","Accounting / Sales","SO Non-Taxable Sales","",""
"BKYS.GLDPT[38]","Accounting / Sales","SO Taxable Sales","",""
"BKYS.GLDPT[3]","Manufacturing","WO Absorbed Labor","",""
"BKYS.GLDPT[4]","Accounting / Sales","SO Retention","",""
"BKYS.GLDPT[6]","Manufacturing","WO Absorbed Fixed Overhead","",""
"BKYS.GLDPT[7]","Manufacturing","WO Absorbed Var Overhead","",""
"BKYS.GLDPT[9]","Manufacturing","WO Extra Costs","",""
"BKYS.GLNUM[10]","Manufacturing","WO Miscellaneous Costs","",""
"BKYS.GLNUM[14]","Manufacturing","IN Absorbed Freight In","",""
"BKYS.GLNUM[15]","Customers","Class","",""
"BKYS.GLNUM[16]","Customers","Discount Code","",""
"BKYS.GLNUM[17]","Accounting / Sales","CS Agts Comm Payable","",""
"BKYS.GLNUM[18]","Accounting / Sales","CS Agts Comm Expense","",""
"BKYS.GLNUM[20]","Manufacturing","WO WIP Variance","",""
"BKYS.GLNUM[21]","Manufacturing","PO Purchase Price Variance","",""
"BKYS.GLNUM[2]","Accounting / Sales","AR Customer Deposits","",""
"BKYS.GLNUM[33]","Accounting / Sales","AP Deposits","",""
"BKYS.GLNUM[34]","Manufacturing","WO WIP Inventory","",""
"BKYS.GLNUM[35]","Manufacturing","IN Cost of Goods Sold","",""
"BKYS.GLNUM[36]","Manufacturing","IN Inventory (Asset)","",""
"BKYS.GLNUM[37]","Accounting / Sales","SO Non-Taxable Sales","",""
"BKYS.GLNUM[38]","Accounting / Sales","SO Taxable Sales","",""
"BKYS.GLNUM[3]","Manufacturing","WO Absorbed Labor","",""
"BKYS.GLNUM[4]","Accounting / Sales","SO Retention","",""
"BKYS.GLNUM[5]","Setup","Post COGS Transactions?","",""
"BKYS.GLNUM[6]","Manufacturing","WO Absorbed Fixed Overhead","",""
"BKYS.GLNUM[7]","Manufacturing","WO Absorbed Var Overhead","",""
"BKYS.GLNUM[9]","Manufacturing","WO Extra Costs","",""
"BKYS.NUM[1]","Setup","Post PO Transactions?","",""
"BKYS.RBNUM","Processing","IN-A: Disable Rebuild Stock Status","",""
"BKYS.RBNUM","Setup","Permit use of Item Class GLs?","",""
"BKYS.VNUM[2]","Customers","Salesperson #1","0123456789",""
"BKYS.VNUM[3]","Routing","Default sequence increment","",""
"ISTS.CFG.ACCESS","Legacy Settings","Allow CM-A to access to AR-A","Y N",""
"ISTS.CFG.ACDCSQ","Setup","INB: Use TOOLS lookup and validation setup in RO-E","YN",""
"ISTS.CFG.ACKBO","Company II","Include BO on EDI Acknowledgments","Y N",""
"ISTS.CFG.ACTDEL","Company","Parent or Subsidiary Company (P/S/N)","Y N",""
"ISTS.CFG.ACTDEL","Setup","IN-L-O: Enable DEL/Make Obsolete","Y N",""
"ISTS.CFG.ANAPA","Accts. Payable","Aging periods","Y N",""
"ISTS.CFG.ANARA","Setup","Use Material Burden","Y N",""
"ISTS.CFG.APADTE","Setup","DC-A: Allow WO Qty update  Password","YN",""
"ISTS.CFG.APBDTE","Accts. Payable","AP-B: Use Invoice Date as Post Date in AP-B","Y N",""
"ISTS.CFG.APBSDT","Accts. Payable","AP-B: Use Accounting Open Period Start Date","Y N",""
"ISTS.CFG.APBSDT","Setup","Limit Ship to based on Bill to","Y N",""
"ISTS.CFG.APBVND","Accts. Payable","AP-B: Prevent Creating New Vendors","Y N",""
"ISTS.CFG.APCFTD","Setup","Post COGS Transactions?","Y N",""
"ISTS.CFG.APCFTT","Setup","Post PO Transactions?","RFAMNLBTKO",""
"ISTS.CFG.APCGLA","Accounting / Sales","GL Retained Earnings","",""
"ISTS.CFG.APCGLD","Accounting / Sales","GL Retained Earnings","0123456789",""
"ISTS.CFG.APCHK","Accts. Payable","Period 5 Greater then","Y N",""
"ISTS.CFG.APCLST","Accts. Payable","AP-C: Update Last Cost when Changing Price*","Y N",""
"ISTS.CFG.APHXPT","Accts. Payable","AP-H: Export Program Name","",""
"ISTS.CFG.APLANG","Accts. Payable","AP-H: Print Check English/Spanish (E/S)","ES",""
"ISTS.CFG.APLINK","Accts. Payable","AP-C/AP-B: Enable Vendor Invoice Links [YNA]","Y NA","A: Prompt when a Vendor Invoice Link has not been added"
"ISTS.CFG.APPRIX","Setup","AP-C Price change update PO Line price (Y/N/A)","YNA",""
"ISTS.CFG.APPVND","Accts. Payable","AP-B/AP-F/PO-A/PO-C: Use Approved Vendors [YNP]","Y NP",""
"ISTS.CFG.APPVND","Processing II","Track Lot/Serial or Both for Serialized Parents? [L/S/B]","Y NP",""
"ISTS.CFG.APSORT","Accts. Payable","Period 3 Greater then | Options: 1  Vendor; 2  Name; 3  State; 4  Zip Code; 5  Contact Name","",""
"ISTS.CFG.APSTDC","Setup","DC-A/DC-C: Round Shift to the nearest X minute","QBN",""
"ISTS.CFG.ARADTE","Customers","Allow Edit of Customer Start Date in AR-A","Y N",""
"ISTS.CFG.ARCBOM","BOM","BMA: Auto Archive BOM [Y/N]","YN",""
"ISTS.CFG.ARCSDT","Setup","Force Job Tracking in SO/PO/WO","Y N",""
"ISTS.CFG.AREMD","Company","Archive Dismissed Reminders older than ### days","1234567890",""
"ISTS.CFG.ARFTD","Acct. Receivables","Print Title on Statement","Y N",""
"ISTS.CFG.ARLCST","Processing","Archive Vendor Last Cost before Updating in PO-C","YN",""
"ISTS.CFG.ARPSWD","Setup","Password","",""
"ISTS.CFG.ARSORT","Acct. Receivables","User ID for X-Charge | Options: 1  Customer; 2  Name; 3  State; 4  Zip Code; 5  Contact Name","",""
"ISTS.CFG.ASTART","Processing II","Link Work Center Dept to GL Dept (Y/N)","YNWA",""
"ISTS.CFG.ATOS","Setup","Show Open or Open/Closed WO in WOA (O/B)","Y NW",""
"ISTS.CFG.AUTOPL","Setup","Enable Auto Line Numbers in PO-A","Y N",""
"ISTS.CFG.AUTOSL","Setup II","Enable Auto Line Numbers in SO-A","Y N",""
"ISTS.CFG.AVAACT","Setup III","Account Number","0123456789",""
"ISTS.CFG.AVACO","Setup III","Company","",""
"ISTS.CFG.AVACOD","Setup III","Default Tax Code","",""
"ISTS.CFG.AVAKEY","Setup III","SO-E/HH-D: Default Shipping Bin","",""
"ISTS.CFG.AVATAX","Setup III","SOE: Prevent Order Lines if it exceeds Credit Limit[Y/N]","YSN",""
"ISTS.CFG.BASEP","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","Y N",""
"ISTS.CFG.BCCBOX","Company","Enable USER Specific Settings (Y/N)","EDH",""
"ISTS.CFG.BILLTO","Setup","Burden Item #","Y N",""
"ISTS.CFG.BLNKBN","Warehouse Control","Allow Blank Bins Locations (Y/N)","Y N",""
"ISTS.CFG.BLSTDC","BOM","BMG - Ignore Standard Cost Date for parts less than $X","0.123456789",""
"ISTS.CFG.BMAREF","BOM","Prevent BM-A from saving MFG Part No into Reference","Y N",""
"ISTS.CFG.BMASTA","BOM","BMA/ROA: Prevent edit for Active Status[YNODEPQRS]","YNODEPQRS",""
"ISTS.CFG.BMASTA","Routing","ROA/BMA: Prevent edit for Active Status[YNODEPQRS]","YNODEPQRS",""
"ISTS.CFG.BMGADT","BOM","Include BM-G in Inventory Audit Tracking?","Y N",""
"ISTS.CFG.BMTYPR","BOM","Allow BOMs for type R parts for Engineering purposes.","Y N",""
"ISTS.CFG.BOMRM","BOM","Prompt for Bom remarks when in Bom Components?","Y N",""
"ISTS.CFG.BPSOQA","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","Y N",""
"ISTS.CFG.BPSOQA","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","Y N",""
"ISTS.CFG.BURDI","Setup","Burden Item #","",""
"ISTS.CFG.BURDN","Setup","Use Material Burden","YN",""
"ISTS.CFG.CAR8D","Quality Control","QCGA: Enable CAR section 8D (Final Review)","Y N",""
"ISTS.CFG.CAROWN","Quality Control","QCGA: Allow CAR Initiator/CAR Owner to be same Person","Y N",""
"ISTS.CFG.CATMST","Processing","PO-A  Allow using expired Vendor Prices (Y,N,A,W)","YNRA",""
"ISTS.CFG.CC","Acct. Receivables","Edit Credit Card Info (C/A/B/N)?","CABN",""
"ISTS.CFG.CCFEE","Setup III","SO-A: Display Line Item Cost, Profit% by line and Total","",""
"ISTS.CFG.CCPSW","Acct. Receivables","Default Srch Key","",""
"ISTS.CFG.CCUID","Acct. Receivables","User ID for X-Charge","",""
"ISTS.CFG.CFGLVL","Company","Company Name && Address","012",""
"ISTS.CFG.CHKBAL","Accts. Payable","Period 1 Greater then","YN A",""
"ISTS.CFG.CKSTDC","Processing","SOE: Disable Generate Serials button.","Y N",""
"ISTS.CFG.CLDISC","Setup II","Prevent edit of SLSP in SO-A (YN)","YNA",""
"ISTS.CFG.CMEST","Estimates","Contact Master for Estimates","Y N",""
"ISTS.CFG.CMPLOC","Processing","Control Category Code (Y/N/R/A)","YNK",""
"ISTS.CFG.CMQUOT","Evo Settings","Contact Master for Quotes","Y N",""
"ISTS.CFG.CMQUOT","Legacy Settings","Contact Master for Quotes","Y N",""
"ISTS.CFG.COGSDP","Sales Commissions","Use COGS Department for GL Expense?   [Y/N]","Y N",""
"ISTS.CFG.COORD","Legacy Settings","Coordinate AR and CM edits","Y N",""
"ISTS.CFG.CRHOLD","Acct. Receivables","Prevent Order Entry for CR hold","Y N",""
"ISTS.CFG.CRMTTL","Acct. Receivables","Alternate Title for Credit Memo","",""
"ISTS.CFG.CROPEN","Quality Control","QCGA: Allow a CAR to be re-opened (Y/N/P)","Y NP","P = Password Protected"
"ISTS.CFG.CRPSWD","Quality Control","Password","",""
"ISTS.CFG.CSOUT","Company II","Remove EDI SO IN file (Y/N/A)","YNA",""
"ISTS.CFG.CTRLBL","Warehouse Control","Use Controlled Bin Locations (Y/N)","Y N",""
"ISTS.CFG.DAYPAY","Acct. Receivables","Print Co. Name/Addr on Statement","U S","U - Unweighted Average'#13#10'S - Skewed to Recent Payments"
"ISTS.CFG.DBLKIT","Processing II","Disable KIT program from double validating part numbers","YN","Disable the double scanning of part numbers in the Kit  program"
"ISTS.CFG.DCABRK","Setup","Force Job Tracking in SO/PO/WO","YN",""
"ISTS.CFG.DCAENG","Setup","DC-A Warning for WO with Active Status E Item","YNIS","Y = Yes'#13#10'N = No'#13#10'I = In Your Face'#13#10'S = Setup Only"
"ISTS.CFG.DCAHHD","Setup","INC/INK: Allow 0 Quantiy Adjustments","YN",""
"ISTS.CFG.DCAPW1","Setup","Password","",""
"ISTS.CFG.DCAPW2","Setup","INB: Use TOOLS lookup and validation setup in RO-E","",""
"ISTS.CFG.DCARUN","Setup","Allow Reopen Closed/Cancelled WO [Y/N/P]","YN",""
"ISTS.CFG.DCAWC","Processing","DCA/B/C Allow access to view and modify the WC [Y/N]","YN","Y = Yes'#13#10'N = No'#13#10"
"ISTS.CFG.DCBEMP","Setup","Password","YN","Y = Yes'#13#10'N = No'#13#10"
"ISTS.CFG.DCCMP%","Processing","Use ITP Numbers for Work Orders?","YN",""
"ISTS.CFG.DCCOMP","Processing","DCA/B/C HH-F Prompt for Sequence Complete.","YN","Y = Yes'#13#10'N = No'#13#10"
"ISTS.CFG.DCCQTY","Setup","Password","YN",""
"ISTS.CFG.DCDAYS","Setup","Post Inventory Adjustments?","YN",""
"ISTS.CFG.DCDQTY","Setup","Password","NWS",""
"ISTS.CFG.DCHLS","Setup","Post PO Transactions?","LSBN","L = Lot'#13#10'S = Serial'#13#10'B = Both'#13#10'N = None"
"ISTS.CFG.DCIRWK","Processing","SOQA/INB: Disable Base Price passdown to subsid Co","YN","Y = Yes'#13#10'N = No'#13#10"
"ISTS.CFG.DCLOGN","Company","Use Evo Login as Paperless Login","YN",""
"ISTS.CFG.DCMACH","Setup","DC-A Warning for WO with Active Status E Item","YN",""
"ISTS.CFG.DCMLST","Processing","DCM: Include Last Clock IN for All Employees","YN",""
"ISTS.CFG.DCNCR","Processing","DCA/B: Disable NCR Entry","YN",""
"ISTS.CFG.DCNEG","Processing","DCA/B: Backflush: Prevent AutoPost Taking OH Negative?","YN",""
"ISTS.CFG.DCNEG","Processing II","WOF/DCA/DCB: Backflush: Prevent Taking OH Negative?","YN",""
"ISTS.CFG.DCNOSC","Hand Held","HH-I/DC-A: Disable Scrap Quantity","YN",""
"ISTS.CFG.DCNOSC","Setup","DC-A/HH-I: Disable Scrap Quantity","YN",""
"ISTS.CFG.DCOASA","Accounting / Sales","GL Clearing Account","",""
"ISTS.CFG.DCOASD","Accounting / Sales","GL Clearing Account","0123456789",""
"ISTS.CFG.DCOVRN","Processing","DCA: Use Shift Start Date for Overnight Shifts","YN",""
"ISTS.CFG.DCPOST","Processing","WOI/HHD/HHI: Suppress Final Qty for this WO [Y/N]","YN",""
"ISTS.CFG.DCPOST","Processing","PO-A Recal Vend Price for item on multi line(Y,N,A)","YN",""
"ISTS.CFG.DCPREQ","Setup","Allow Reopen Closed/Cancelled WO [Y/N/P]","YNA","Y = Yes'#13#10'N = No'#13#10'A = Ask"
"ISTS.CFG.DCREWK","Setup","INK: Allow edit to Transaction Date","YNM","Y = Yes'#13#10'N = No'#13#10'M = Multiple"
"ISTS.CFG.DCRND","Setup","DC-A/DC-C: Round Shift to the nearest X minute","YN",""
"ISTS.CFG.DCRSH","Processing","SO-A: New SOs Consume Forecasting for that Month","YN",""
"ISTS.CFG.DCSCRP","Setup","INK: Allow edit to Transaction Date","YNME","Y = Yes'#13#10'N = No'#13#10'M = Multiple'#13#10'E = Edit screens (DC-G, WO-M)"
"ISTS.CFG.DCSEQ","Processing","Control User Defined (Y/N/R/A)","WYNQC",""
"ISTS.CFG.DCSEQ","Setup","DC-A: Check if QTY per SEQ>WO QTY [NYWQPC]","YNWQPC",""
